The training set: set 3
********************0********************
Current learning rate: 0.01
Epoch: [0][  0/292]	Loss 2.1946 (2.1946)	Accuracy 25.000 (25.000)
Epoch: [0][ 10/292]	Loss 3.8702 (3.2142)	Accuracy 12.500 (20.170)
Epoch: [0][ 20/292]	Loss 1.7847 (2.7227)	Accuracy 21.875 (20.387)
Epoch: [0][ 30/292]	Loss 1.6841 (2.4601)	Accuracy 28.125 (19.052)
Epoch: [0][ 40/292]	Loss 1.9756 (2.3364)	Accuracy  9.375 (19.436)
Epoch: [0][ 50/292]	Loss 1.7247 (2.2449)	Accuracy 31.250 (20.037)
Epoch: [0][ 60/292]	Loss 1.8807 (2.1886)	Accuracy 25.000 (20.492)
Epoch: [0][ 70/292]	Loss 2.1256 (2.1386)	Accuracy 12.500 (20.599)
Epoch: [0][ 80/292]	Loss 1.8716 (2.1002)	Accuracy  9.375 (20.602)
Epoch: [0][ 90/292]	Loss 1.8378 (2.0670)	Accuracy 15.625 (20.433)
Epoch: [0][100/292]	Loss 1.6727 (2.0400)	Accuracy 28.125 (20.514)
Epoch: [0][110/292]	Loss 1.7775 (2.0163)	Accuracy 31.250 (20.974)
Epoch: [0][120/292]	Loss 1.7618 (1.9998)	Accuracy 28.125 (20.894)
Epoch: [0][130/292]	Loss 1.6353 (1.9846)	Accuracy 25.000 (21.207)
Epoch: [0][140/292]	Loss 1.8583 (1.9722)	Accuracy 25.000 (21.476)
Epoch: [0][150/292]	Loss 1.7860 (1.9596)	Accuracy 12.500 (21.709)
Epoch: [0][160/292]	Loss 1.7776 (1.9486)	Accuracy 15.625 (22.011)
Epoch: [0][170/292]	Loss 1.7274 (1.9400)	Accuracy 37.500 (22.186)
Epoch: [0][180/292]	Loss 1.9092 (1.9336)	Accuracy 28.125 (22.289)
Epoch: [0][190/292]	Loss 1.8033 (1.9266)	Accuracy  9.375 (22.284)
Epoch: [0][200/292]	Loss 1.7690 (1.9183)	Accuracy 21.875 (22.295)
Epoch: [0][210/292]	Loss 1.8711 (1.9107)	Accuracy 31.250 (22.319)
Epoch: [0][220/292]	Loss 1.7982 (1.9063)	Accuracy 21.875 (22.059)
Epoch: [0][230/292]	Loss 1.8235 (1.9030)	Accuracy 15.625 (22.132)
Epoch: [0][240/292]	Loss 1.8101 (1.8991)	Accuracy 21.875 (22.199)
Epoch: [0][250/292]	Loss 1.6934 (1.8957)	Accuracy 15.625 (22.000)
Epoch: [0][260/292]	Loss 1.7504 (1.8914)	Accuracy 15.625 (21.875)
Epoch: [0][270/292]	Loss 1.8077 (1.8866)	Accuracy  9.375 (21.817)
Epoch: [0][280/292]	Loss 1.8071 (1.8833)	Accuracy 12.500 (21.842)
Epoch: [0][290/292]	Loss 1.7912 (1.8804)	Accuracy 15.625 (21.800)
Test: [ 0/74]	Loss 2.8298 (2.8298)	Accuracy  0.000 ( 0.000)
Test: [10/74]	Loss 1.7122 (2.0888)	Accuracy  6.250 ( 0.852)
Test: [20/74]	Loss 1.6942 (1.9393)	Accuracy 37.500 (14.435)
Test: [30/74]	Loss 1.7658 (1.8986)	Accuracy 28.125 (17.742)
