The training set: set 4
********************0********************
Current learning rate: 0.01
Epoch: [0][  0/292]	Loss 2.1827 (2.1827)	Accuracy 18.750 (18.750)
Epoch: [0][ 10/292]	Loss 3.7311 (4.5763)	Accuracy 25.000 (17.898)
Epoch: [0][ 20/292]	Loss 1.8452 (3.6311)	Accuracy 25.000 (17.857)
Epoch: [0][ 30/292]	Loss 1.8684 (3.1050)	Accuracy 28.125 (18.952)
Epoch: [0][ 40/292]	Loss 2.0777 (2.8433)	Accuracy 21.875 (18.674)
Epoch: [0][ 50/292]	Loss 1.9199 (2.6720)	Accuracy 18.750 (18.505)
Epoch: [0][ 60/292]	Loss 1.9307 (2.5369)	Accuracy  9.375 (18.648)
Epoch: [0][ 70/292]	Loss 2.1526 (2.4467)	Accuracy 15.625 (19.014)
Epoch: [0][ 80/292]	Loss 1.7821 (2.3744)	Accuracy 25.000 (19.637)
Epoch: [0][ 90/292]	Loss 1.7354 (2.3143)	Accuracy 25.000 (19.918)
Epoch: [0][100/292]	Loss 1.7817 (2.2671)	Accuracy 28.125 (19.926)
Epoch: [0][110/292]	Loss 2.0300 (2.2275)	Accuracy 12.500 (19.904)
Epoch: [0][120/292]	Loss 1.8489 (2.1930)	Accuracy 28.125 (19.964)
Epoch: [0][130/292]	Loss 1.8889 (2.1634)	Accuracy 15.625 (20.324)
Epoch: [0][140/292]	Loss 2.0293 (2.1368)	Accuracy 15.625 (20.545)
Epoch: [0][150/292]	Loss 1.8661 (2.1161)	Accuracy  9.375 (20.530)
Epoch: [0][160/292]	Loss 1.8262 (2.0966)	Accuracy 18.750 (20.497)
Epoch: [0][170/292]	Loss 1.7183 (2.0809)	Accuracy 25.000 (20.614)
Epoch: [0][180/292]	Loss 1.7706 (2.0663)	Accuracy 25.000 (20.701)
Epoch: [0][190/292]	Loss 1.7422 (2.0498)	Accuracy 15.625 (20.910)
Epoch: [0][200/292]	Loss 1.7846 (2.0359)	Accuracy 25.000 (21.113)
Epoch: [0][210/292]	Loss 1.7322 (2.0250)	Accuracy 25.000 (21.046)
Epoch: [0][220/292]	Loss 1.7829 (2.0140)	Accuracy 25.000 (20.942)
Epoch: [0][230/292]	Loss 1.8652 (2.0061)	Accuracy  9.375 (20.833)
Epoch: [0][240/292]	Loss 1.6665 (1.9963)	Accuracy 34.375 (20.928)
Epoch: [0][250/292]	Loss 1.7753 (1.9878)	Accuracy 15.625 (20.991)
Epoch: [0][260/292]	Loss 1.7733 (1.9806)	Accuracy 28.125 (21.061)
Epoch: [0][270/292]	Loss 1.7417 (1.9742)	Accuracy 21.875 (20.976)
Epoch: [0][280/292]	Loss 1.8005 (1.9674)	Accuracy 25.000 (21.085)
Epoch: [0][290/292]	Loss 1.9266 (1.9642)	Accuracy  3.125 (21.059)
Test: [ 0/74]	Loss 2.3077 (2.3077)	Accuracy  0.000 ( 0.000)
Test: [10/74]	Loss 1.7492 (1.8585)	Accuracy  9.375 (13.920)
Test: [20/74]	Loss 1.7067 (1.8016)	Accuracy 18.750 (18.155)
