The training set: set 2
********************0********************
Current learning rate: 0.01
Epoch: [0][  0/292]	Loss 2.1353 (2.1353)	Accuracy 15.625 (15.625)
Epoch: [0][ 10/292]	Loss 4.4910 (2.9454)	Accuracy 25.000 (20.455)
Epoch: [0][ 20/292]	Loss 2.3582 (2.7373)	Accuracy  6.250 (18.155)
Epoch: [0][ 30/292]	Loss 1.9424 (2.4846)	Accuracy 18.750 (18.649)
Epoch: [0][ 40/292]	Loss 1.9509 (2.3445)	Accuracy 15.625 (19.207)
Epoch: [0][ 50/292]	Loss 1.8705 (2.2442)	Accuracy  6.250 (19.547)
Epoch: [0][ 60/292]	Loss 1.7644 (2.1793)	Accuracy 21.875 (19.314)
Epoch: [0][ 70/292]	Loss 1.5865 (2.1318)	Accuracy 25.000 (19.146)
Epoch: [0][ 80/292]	Loss 1.8122 (2.0965)	Accuracy 12.500 (19.444)
Epoch: [0][ 90/292]	Loss 1.8587 (2.0653)	Accuracy 12.500 (19.128)
Epoch: [0][100/292]	Loss 1.8251 (2.0395)	Accuracy 37.500 (19.276)
Epoch: [0][110/292]	Loss 1.5741 (2.0128)	Accuracy 40.625 (19.454)
Epoch: [0][120/292]	Loss 1.8886 (1.9996)	Accuracy 18.750 (19.757)
Epoch: [0][130/292]	Loss 1.6854 (1.9849)	Accuracy 25.000 (19.967)
Epoch: [0][140/292]	Loss 1.7435 (1.9692)	Accuracy 31.250 (20.168)
Epoch: [0][150/292]	Loss 1.7267 (1.9563)	Accuracy 18.750 (20.385)
Epoch: [0][160/292]	Loss 1.7751 (1.9491)	Accuracy 28.125 (20.322)
Epoch: [0][170/292]	Loss 1.9112 (1.9417)	Accuracy 15.625 (20.614)
Epoch: [0][180/292]	Loss 1.7411 (1.9365)	Accuracy 25.000 (20.597)
Epoch: [0][190/292]	Loss 1.7694 (1.9287)	Accuracy 34.375 (20.566)
Epoch: [0][200/292]	Loss 1.8256 (1.9215)	Accuracy 12.500 (20.693)
Epoch: [0][210/292]	Loss 1.9563 (1.9174)	Accuracy 25.000 (20.794)
Epoch: [0][220/292]	Loss 1.7831 (1.9129)	Accuracy 21.875 (20.814)
Epoch: [0][230/292]	Loss 1.7565 (1.9091)	Accuracy 31.250 (20.982)
Epoch: [0][240/292]	Loss 1.8544 (1.9032)	Accuracy  3.125 (20.967)
Epoch: [0][250/292]	Loss 1.7153 (1.8980)	Accuracy 25.000 (20.879)
Epoch: [0][260/292]	Loss 1.7277 (1.8944)	Accuracy 28.125 (20.941)
Epoch: [0][270/292]	Loss 1.7210 (1.8906)	Accuracy 21.875 (21.033)
Epoch: [0][280/292]	Loss 1.8423 (1.8880)	Accuracy 15.625 (21.052)
Epoch: [0][290/292]	Loss 1.8443 (1.8863)	Accuracy 28.125 (20.973)
Test: [ 0/74]	Loss 2.8780 (2.8780)	Accuracy  3.125 ( 3.125)
