The training set: set 2
********************0********************
Current learning rate: 0.01
Epoch: [0][  0/292]	Loss 1.9600 (1.9600)	Accuracy 25.000 (25.000)
Epoch: [0][ 10/292]	Loss 2.1398 (2.5049)	Accuracy 25.000 (21.023)
Epoch: [0][ 20/292]	Loss 1.9333 (2.4154)	Accuracy  9.375 (18.155)
Epoch: [0][ 30/292]	Loss 1.9335 (2.2463)	Accuracy 18.750 (19.657)
Epoch: [0][ 40/292]	Loss 1.8658 (2.1537)	Accuracy 18.750 (19.588)
Epoch: [0][ 50/292]	Loss 1.7763 (2.0949)	Accuracy 12.500 (18.689)
Epoch: [0][ 60/292]	Loss 1.7918 (2.0466)	Accuracy 21.875 (19.211)
Epoch: [0][ 70/292]	Loss 1.8247 (2.0195)	Accuracy 28.125 (19.366)
Epoch: [0][ 80/292]	Loss 1.8918 (1.9965)	Accuracy 12.500 (19.715)
Epoch: [0][ 90/292]	Loss 1.8375 (1.9739)	Accuracy 12.500 (19.643)
Epoch: [0][100/292]	Loss 1.8540 (1.9559)	Accuracy 12.500 (19.585)
Epoch: [0][110/292]	Loss 1.7455 (1.9388)	Accuracy  9.375 (19.566)
Epoch: [0][120/292]	Loss 1.7668 (1.9304)	Accuracy 21.875 (19.757)
Epoch: [0][130/292]	Loss 1.7773 (1.9215)	Accuracy 28.125 (19.871)
Epoch: [0][140/292]	Loss 1.8572 (1.9123)	Accuracy 12.500 (19.902)
Epoch: [0][150/292]	Loss 1.7840 (1.9058)	Accuracy 34.375 (20.075)
Epoch: [0][160/292]	Loss 1.7538 (1.8984)	Accuracy 21.875 (19.973)
Epoch: [0][170/292]	Loss 1.6619 (1.8913)	Accuracy 43.750 (20.175)
Epoch: [0][180/292]	Loss 1.7903 (1.8878)	Accuracy 15.625 (20.373)
Epoch: [0][190/292]	Loss 1.6854 (1.8847)	Accuracy 25.000 (20.419)
Epoch: [0][200/292]	Loss 1.7585 (1.8802)	Accuracy 28.125 (20.585)
Epoch: [0][210/292]	Loss 1.9066 (1.8798)	Accuracy  6.250 (20.512)
Epoch: [0][220/292]	Loss 1.9194 (1.8758)	Accuracy 25.000 (20.701)
Epoch: [0][230/292]	Loss 1.9002 (1.8755)	Accuracy 12.500 (20.793)
Epoch: [0][240/292]	Loss 1.8716 (1.8724)	Accuracy 15.625 (20.773)
Epoch: [0][250/292]	Loss 1.8075 (1.8685)	Accuracy 18.750 (20.867)
Epoch: [0][260/292]	Loss 1.7744 (1.8651)	Accuracy 12.500 (20.917)
Epoch: [0][270/292]	Loss 1.7871 (1.8618)	Accuracy 21.875 (21.033)
Epoch: [0][280/292]	Loss 1.8533 (1.8592)	Accuracy 18.750 (20.941)
Epoch: [0][290/292]	Loss 1.7202 (1.8558)	Accuracy 25.000 (20.973)
Test: [ 0/74]	Loss 2.8414 (2.8414)	Accuracy  6.250 ( 6.250)
