The training set: set 5
********************0********************
Current learning rate: 0.01
Epoch: [0][  0/292]	Loss 2.1609 (2.1609)	Accuracy 21.875 (21.875)
Epoch: [0][ 10/292]	Loss 2.2202 (4.6229)	Accuracy 15.625 (15.909)
Epoch: [0][ 20/292]	Loss 1.9130 (3.5072)	Accuracy 31.250 (17.708)
Epoch: [0][ 30/292]	Loss 1.8713 (3.0191)	Accuracy 15.625 (18.952)
Epoch: [0][ 40/292]	Loss 1.9951 (2.7613)	Accuracy  6.250 (18.445)
Epoch: [0][ 50/292]	Loss 1.7723 (2.6019)	Accuracy 18.750 (18.260)
Epoch: [0][ 60/292]	Loss 1.7188 (2.4785)	Accuracy 31.250 (19.160)
Epoch: [0][ 70/292]	Loss 1.9573 (2.3885)	Accuracy 28.125 (19.850)
Epoch: [0][ 80/292]	Loss 1.6711 (2.3203)	Accuracy 25.000 (19.869)
Epoch: [0][ 90/292]	Loss 1.7108 (2.2632)	Accuracy 28.125 (20.261)
Epoch: [0][100/292]	Loss 1.8481 (2.2217)	Accuracy 21.875 (20.266)
Epoch: [0][110/292]	Loss 1.7912 (2.1867)	Accuracy 25.000 (20.214)
Epoch: [0][120/292]	Loss 1.8077 (2.1558)	Accuracy 18.750 (20.119)
Epoch: [0][130/292]	Loss 1.7521 (2.1256)	Accuracy 15.625 (20.444)
Epoch: [0][140/292]	Loss 1.8585 (2.1026)	Accuracy 18.750 (20.612)
Epoch: [0][150/292]	Loss 1.8699 (2.0833)	Accuracy 31.250 (20.944)
Epoch: [0][160/292]	Loss 1.8596 (2.0657)	Accuracy 21.875 (21.040)
Epoch: [0][170/292]	Loss 1.6839 (2.0499)	Accuracy 31.250 (20.998)
Epoch: [0][180/292]	Loss 1.6631 (2.0349)	Accuracy 12.500 (21.064)
Epoch: [0][190/292]	Loss 2.0671 (2.0209)	Accuracy 18.750 (21.204)
Epoch: [0][200/292]	Loss 1.9202 (2.0129)	Accuracy 15.625 (21.020)
Epoch: [0][210/292]	Loss 1.7449 (2.0045)	Accuracy 25.000 (20.898)
Epoch: [0][220/292]	Loss 1.8687 (1.9954)	Accuracy 25.000 (20.984)
Epoch: [0][230/292]	Loss 1.8609 (1.9872)	Accuracy 18.750 (21.063)
Epoch: [0][240/292]	Loss 1.7001 (1.9773)	Accuracy 28.125 (21.188)
Epoch: [0][250/292]	Loss 1.8089 (1.9699)	Accuracy  6.250 (21.066)
Epoch: [0][260/292]	Loss 1.7715 (1.9651)	Accuracy 21.875 (20.989)
Epoch: [0][270/292]	Loss 1.7706 (1.9590)	Accuracy 12.500 (20.941)
Epoch: [0][280/292]	Loss 1.7026 (1.9526)	Accuracy 34.375 (20.919)
Epoch: [0][290/292]	Loss 1.8118 (1.9478)	Accuracy 18.750 (21.027)
Test: [ 0/73]	Loss 2.2445 (2.2445)	Accuracy  6.250 ( 6.250)
Test: [10/73]	Loss 1.7293 (1.7770)	Accuracy 31.250 (25.000)
Test: [20/73]	Loss 1.7626 (1.7787)	Accuracy 15.625 (23.958)
