The training set: set 2
********************67********************
Current learning rate: 0.001
Epoch: [67][  0/292]	Loss 0.9911 (0.9911)	Accuracy 59.375 (59.375)
Epoch: [67][ 10/292]	Loss 0.6889 (0.9563)	Accuracy 75.000 (66.193)
Epoch: [67][ 20/292]	Loss 0.8542 (0.9584)	Accuracy 65.625 (64.583)
Epoch: [67][ 30/292]	Loss 1.0051 (0.9266)	Accuracy 59.375 (66.230)
Epoch: [67][ 40/292]	Loss 0.8223 (0.9304)	Accuracy 78.125 (66.540)
Epoch: [67][ 50/292]	Loss 0.8994 (0.9292)	Accuracy 53.125 (66.299)
Epoch: [67][ 60/292]	Loss 1.0250 (0.9302)	Accuracy 53.125 (66.035)
Epoch: [67][ 70/292]	Loss 0.7322 (0.9253)	Accuracy 84.375 (66.505)
Epoch: [67][ 80/292]	Loss 1.1397 (0.9305)	Accuracy 50.000 (66.319)
Epoch: [67][ 90/292]	Loss 1.2431 (0.9395)	Accuracy 65.625 (66.140)
Epoch: [67][100/292]	Loss 0.8160 (0.9434)	Accuracy 68.750 (65.811)
Epoch: [67][110/292]	Loss 0.9256 (0.9420)	Accuracy 65.625 (65.963)
Epoch: [67][120/292]	Loss 0.9174 (0.9434)	Accuracy 68.750 (65.754)
Epoch: [67][130/292]	Loss 1.0574 (0.9391)	Accuracy 59.375 (65.887)
Epoch: [67][140/292]	Loss 1.0154 (0.9425)	Accuracy 68.750 (65.647)
Epoch: [67][150/292]	Loss 0.6142 (0.9387)	Accuracy 75.000 (65.811)
Epoch: [67][160/292]	Loss 1.0859 (0.9368)	Accuracy 59.375 (65.936)
Epoch: [67][170/292]	Loss 0.9566 (0.9386)	Accuracy 65.625 (65.844)
Epoch: [67][180/292]	Loss 0.7194 (0.9312)	Accuracy 68.750 (66.057)
Epoch: [67][190/292]	Loss 0.6767 (0.9332)	Accuracy 71.875 (65.985)
Epoch: [67][200/292]	Loss 0.7123 (0.9338)	Accuracy 78.125 (65.765)
Epoch: [67][210/292]	Loss 0.8910 (0.9373)	Accuracy 65.625 (65.432)
Epoch: [67][220/292]	Loss 0.6283 (0.9382)	Accuracy 71.875 (65.370)
Epoch: [67][230/292]	Loss 0.8898 (0.9367)	Accuracy 53.125 (65.233)
Epoch: [67][240/292]	Loss 0.8257 (0.9371)	Accuracy 71.875 (65.210)
Epoch: [67][250/292]	Loss 0.9302 (0.9375)	Accuracy 68.750 (65.164)
Epoch: [67][260/292]	Loss 1.1703 (0.9400)	Accuracy 56.250 (65.170)
Epoch: [67][270/292]	Loss 1.1391 (0.9425)	Accuracy 53.125 (65.129)
Epoch: [67][280/292]	Loss 1.1065 (0.9441)	Accuracy 59.375 (65.080)
Epoch: [67][290/292]	Loss 1.0231 (0.9444)	Accuracy 56.250 (65.045)
Test: [ 0/74]	Loss 2.6069 (2.6069)	Accuracy 18.750 (18.750)
Test: [10/74]	Loss 1.1599 (1.1894)	Accuracy 56.250 (58.239)
Test: [20/74]	Loss 0.7211 (1.0394)	Accuracy 75.000 (62.649)
Test: [30/74]	Loss 1.0636 (1.0226)	Accuracy 62.500 (64.516)
Test: [40/74]	Loss 0.9485 (1.0422)	Accuracy 71.875 (64.558)
Test: [50/74]	Loss 1.5227 (1.0550)	Accuracy 46.875 (64.277)
Test: [60/74]	Loss 0.8989 (1.0377)	Accuracy 71.875 (64.600)
Test: [70/74]	Loss 1.2798 (1.0663)	Accuracy 56.250 (63.380)
Current Accuracy: 63.477
The best accuracy: 63.47714614868164
An epoch time: {:.1f}s189.04935956001282
********************68********************
Current learning rate: 0.001
Epoch: [68][  0/292]	Loss 1.0621 (1.0621)	Accuracy 62.500 (62.500)
Epoch: [68][ 10/292]	Loss 0.8054 (0.8848)	Accuracy 65.625 (67.898)
Epoch: [68][ 20/292]	Loss 0.8919 (0.8889)	Accuracy 62.500 (66.369)
Epoch: [68][ 30/292]	Loss 0.8125 (0.9006)	Accuracy 65.625 (65.726)
Epoch: [68][ 40/292]	Loss 0.7030 (0.9013)	Accuracy 75.000 (65.777)
Epoch: [68][ 50/292]	Loss 1.1449 (0.9457)	Accuracy 53.125 (64.400)
Epoch: [68][ 60/292]	Loss 0.9034 (0.9459)	Accuracy 68.750 (64.652)
