The training set: set 5
********************0********************
Current learning rate: 0.01
Epoch: [0][  0/292]	Loss 3.5197 (3.5197)	Accuracy 18.750 (18.750)
Epoch: [0][ 10/292]	Loss 3.2899 (4.2343)	Accuracy 25.000 (20.455)
Epoch: [0][ 20/292]	Loss 1.9932 (3.1915)	Accuracy 18.750 (20.536)
Epoch: [0][ 30/292]	Loss 2.2849 (2.8146)	Accuracy 18.750 (20.363)
Epoch: [0][ 40/292]	Loss 2.1400 (2.6153)	Accuracy 21.875 (19.588)
Epoch: [0][ 50/292]	Loss 1.6844 (2.4836)	Accuracy 31.250 (19.301)
Epoch: [0][ 60/292]	Loss 1.8711 (2.3874)	Accuracy 18.750 (19.621)
Epoch: [0][ 70/292]	Loss 1.8269 (2.3136)	Accuracy  9.375 (19.718)
Epoch: [0][ 80/292]	Loss 1.8918 (2.2526)	Accuracy 21.875 (20.023)
Epoch: [0][ 90/292]	Loss 1.8430 (2.2037)	Accuracy  9.375 (19.609)
Epoch: [0][100/292]	Loss 1.7907 (2.1683)	Accuracy 18.750 (19.524)
Epoch: [0][110/292]	Loss 1.6752 (2.1350)	Accuracy 31.250 (19.764)
Epoch: [0][120/292]	Loss 1.8242 (2.1103)	Accuracy 12.500 (19.551)
Epoch: [0][130/292]	Loss 1.8015 (2.0880)	Accuracy 31.250 (19.943)
Epoch: [0][140/292]	Loss 1.9016 (2.0703)	Accuracy 15.625 (19.858)
Epoch: [0][150/292]	Loss 1.7376 (2.0511)	Accuracy 15.625 (19.950)
Epoch: [0][160/292]	Loss 1.7657 (2.0379)	Accuracy 12.500 (19.740)
Epoch: [0][170/292]	Loss 1.8899 (2.0238)	Accuracy 21.875 (19.901)
Epoch: [0][180/292]	Loss 1.9970 (2.0132)	Accuracy 15.625 (19.855)
Epoch: [0][190/292]	Loss 1.7498 (2.0009)	Accuracy 21.875 (19.993)
Epoch: [0][200/292]	Loss 1.8329 (1.9899)	Accuracy 18.750 (20.009)
Epoch: [0][210/292]	Loss 1.9543 (1.9810)	Accuracy 28.125 (20.275)
Epoch: [0][220/292]	Loss 1.8222 (1.9737)	Accuracy 21.875 (20.221)
Epoch: [0][230/292]	Loss 1.8153 (1.9650)	Accuracy  9.375 (20.400)
Epoch: [0][240/292]	Loss 1.8681 (1.9613)	Accuracy 21.875 (20.280)
Epoch: [0][250/292]	Loss 1.8071 (1.9546)	Accuracy 21.875 (20.393)
Epoch: [0][260/292]	Loss 1.7106 (1.9493)	Accuracy 21.875 (20.307)
Epoch: [0][270/292]	Loss 1.6810 (1.9432)	Accuracy 25.000 (20.364)
Epoch: [0][280/292]	Loss 1.7741 (1.9385)	Accuracy  6.250 (20.296)
Epoch: [0][290/292]	Loss 1.7768 (1.9329)	Accuracy 18.750 (20.404)
Test: [ 0/73]	Loss 2.4664 (2.4664)	Accuracy  0.000 ( 0.000)
Test: [10/73]	Loss 1.7036 (1.8053)	Accuracy 25.000 (15.625)
Test: [20/73]	Loss 1.7016 (1.7920)	Accuracy 25.000 (19.792)
