The training set: set 2
********************0********************
Current learning rate: 0.01
Epoch: [0][  0/292]	Loss 2.2951 (2.2951)	Accuracy 21.875 (21.875)
Epoch: [0][ 10/292]	Loss 3.2385 (2.9717)	Accuracy 18.750 (20.455)
Epoch: [0][ 20/292]	Loss 1.9326 (2.6452)	Accuracy 15.625 (19.643)
Epoch: [0][ 30/292]	Loss 1.9211 (2.4139)	Accuracy  9.375 (19.052)
Epoch: [0][ 40/292]	Loss 1.6934 (2.2619)	Accuracy 34.375 (19.893)
Epoch: [0][ 50/292]	Loss 1.8579 (2.1769)	Accuracy 18.750 (20.404)
Epoch: [0][ 60/292]	Loss 1.9616 (2.1194)	Accuracy 21.875 (19.928)
Epoch: [0][ 70/292]	Loss 1.6267 (2.0732)	Accuracy 37.500 (20.731)
Epoch: [0][ 80/292]	Loss 1.7598 (2.0432)	Accuracy 28.125 (20.602)
Epoch: [0][ 90/292]	Loss 1.8972 (2.0195)	Accuracy 12.500 (20.673)
Epoch: [0][100/292]	Loss 1.7380 (1.9954)	Accuracy 18.750 (20.606)
Epoch: [0][110/292]	Loss 1.7382 (1.9768)	Accuracy 21.875 (20.693)
Epoch: [0][120/292]	Loss 1.9378 (1.9647)	Accuracy  9.375 (20.661)
Epoch: [0][130/292]	Loss 1.8241 (1.9525)	Accuracy 25.000 (20.849)
Epoch: [0][140/292]	Loss 1.9185 (1.9408)	Accuracy 25.000 (20.789)
